date,tag,asset,downloads
2026-08-14,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-net10.zip,1
2026-08-14,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-unpacked.zip,1
2026-08-14,2026.1-pre1,PasteJump-2026.1.0.134-win-x64.zip,0
2026-08-14,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-net10.zip,2
2026-08-14,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-unpacked.zip,0
2026-08-14,2026.1-pre2,PasteJump-2026.1.0.155-win-x64.zip,0
2026-08-22,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-net10.zip,1
2026-08-22,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-unpacked.zip,1
2026-08-22,2026.1-pre1,PasteJump-2026.1.0.134-win-x64.zip,0
2026-08-22,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-net10.zip,2
2026-08-22,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-unpacked.zip,0
2026-08-22,2026.1-pre2,PasteJump-2026.1.0.155-win-x64.zip,0
2026-08-22,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-net10.zip,0
2026-08-22,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-unpacked.zip,0
2026-08-22,2026.1-pre3,PasteJump-2026.1.0.210-win-x64.zip,1
2026-08-23,2026.1-pre4,PasteJump-2026.1.0.218-win-x64-net10.zip,2
2026-08-23,2026.1-pre4,PasteJump-2026.1.0.218-win-x64-unpacked.zip,0
2026-08-23,2026.1-pre4,PasteJump-2026.1.0.218-win-x64.zip,0
2026-08-23,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-net10.zip,1
2026-08-23,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-unpacked.zip,1
2026-08-23,2026.1-pre1,PasteJump-2026.1.0.134-win-x64.zip,0
2026-08-23,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-net10.zip,2
2026-08-23,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-unpacked.zip,0
2026-08-23,2026.1-pre2,PasteJump-2026.1.0.155-win-x64.zip,0
2026-08-23,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-net10.zip,0
2026-08-23,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-unpacked.zip,0
2026-08-23,2026.1-pre3,PasteJump-2026.1.0.210-win-x64.zip,1
2026-08-24,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-net10.zip,1
2026-08-24,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-unpacked.zip,1
2026-08-24,2026.1-pre1,PasteJump-2026.1.0.134-win-x64.zip,0
2026-08-24,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-net10.zip,2
2026-08-24,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-unpacked.zip,0
2026-08-24,2026.1-pre2,PasteJump-2026.1.0.155-win-x64.zip,0
2026-08-24,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-net10.zip,0
2026-08-24,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-unpacked.zip,0
2026-08-24,2026.1-pre3,PasteJump-2026.1.0.210-win-x64.zip,1
2026-08-24,2026.1-pre6,PasteJump-2026.1.0.226-win-x64-net10.zip,1
2026-08-24,2026.1-pre6,PasteJump-2026.1.0.226-win-x64-unpacked.zip,1
2026-08-24,2026.1-pre6,PasteJump-2026.1.0.226-win-x64.zip,1
2026-08-24,2026.1,PasteJump-2026.1.0.229-win-x64-net10.zip,2
2026-08-24,2026.1,PasteJump-2026.1.0.229-win-x64-unpacked.zip,1
2026-08-24,2026.1,PasteJump-2026.1.0.229-win-x64.zip,8
2026-08-25,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-net10.zip,1
2026-08-25,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-unpacked.zip,1
2026-08-25,2026.1-pre1,PasteJump-2026.1.0.134-win-x64.zip,0
2026-08-25,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-net10.zip,2
2026-08-25,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-unpacked.zip,0
2026-08-25,2026.1-pre2,PasteJump-2026.1.0.155-win-x64.zip,0
2026-08-25,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-net10.zip,0
2026-08-25,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-unpacked.zip,0
2026-08-25,2026.1-pre3,PasteJump-2026.1.0.210-win-x64.zip,1
2026-08-25,2026.1-pre6,PasteJump-2026.1.0.226-win-x64-net10.zip,1
2026-08-25,2026.1-pre6,PasteJump-2026.1.0.226-win-x64-unpacked.zip,1
2026-08-25,2026.1-pre6,PasteJump-2026.1.0.226-win-x64.zip,1
2026-08-25,2026.1,PasteJump-2026.1.0.229-win-x64-net10.zip,2
2026-08-25,2026.1,PasteJump-2026.1.0.229-win-x64-unpacked.zip,2
2026-08-25,2026.1,PasteJump-2026.1.0.229-win-x64.zip,10
2026-08-27,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-net10.zip,1
2026-08-27,2026.1-pre1,PasteJump-2026.1.0.134-win-x64-unpacked.zip,1
2026-08-27,2026.1-pre1,PasteJump-2026.1.0.134-win-x64.zip,0
2026-08-27,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-net10.zip,2
2026-08-27,2026.1-pre2,PasteJump-2026.1.0.155-win-x64-unpacked.zip,0
2026-08-27,2026.1-pre2,PasteJump-2026.1.0.155-win-x64.zip,0
2026-08-27,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-net10.zip,0
2026-08-27,2026.1-pre3,PasteJump-2026.1.0.210-win-x64-unpacked.zip,0
